District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Date,Latitude,Longitude,Day,Month,WeekDay,Hour
LUCKNOW,P05042111438,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,05/04/2021 22:07:00,26.844,81.038,2021-04-05,4,2,22
LUCKNOW,P06042100037,C1,PS1,PHONE,Threat In Person,Threatening To Kill,06/04/2021 00:05:00,26.827,81.046,2021-04-06,4,3,0
LUCKNOW,P06042100153,C1,PS1,PHONE,Dispute,Other Dispute,06/04/2021 00:19:00,26.835,81.022,2021-04-06,4,3,0
LUCKNOW,P06042100796,C1,PS1,TWITTER,Dispute,Sewer Dispute,06/04/2021 02:45:00,26.839,81.017,2021-04-06,4,3,2
LUCKNOW,P06042101350,C1,PS1,TWITTER,Animals Related,Found Injured Animal,06/04/2021 06:54:00,26.839,81.026,2021-04-06,4,3,6
LUCKNOW,P06042103845,C1,PS1,PHONE,Threat In Person,Attack,06/04/2021 11:18:00,26.844,81.008,2021-04-06,4,3,11
LUCKNOW,P06042108172,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,06/04/2021 18:19:00,26.847,81.031,2021-04-06,4,3,18
LUCKNOW,P06042111217,C1,PS1,PHONE,Dispute,Other Dispute,06/04/2021 22:00:00,26.84,81.001,2021-04-06,4,3,22
LUCKNOW,P06042112282,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,06/04/2021 23:04:00,26.822,81.018,2021-04-06,4,3,23
LUCKNOW,P06042112907,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,06/04/2021 23:54:00,26.825,81.012,2021-04-06,4,3,23
LUCKNOW,P07042101225,C1,PS1,PHONE,Theft,Residential Building,07/04/2021 06:42:00,26.842,81.008,2021-04-07,4,4,6
LUCKNOW,P07042102571,C1,PS1,PHONE,Missing,Women,07/04/2021 09:24:00,26.847,81.027,2021-04-07,4,4,9
LUCKNOW,P07042104357,C1,PS1,PHONE,Property Disputes,Boundary Dispute,07/04/2021 12:14:00,26.838,81.008,2021-04-07,4,4,12
LUCKNOW,P07042104458,C1,PS1,PHONE,Theft,Residential Building,07/04/2021 12:24:00,26.844,81.011,2021-04-07,4,4,12
LUCKNOW,P07042105845,C1,PS1,PHONE,Animals Related,Cow Carcass And Slaughtering,07/04/2021 14:49:00,26.84,81.021,2021-04-07,4,4,14
LUCKNOW,P07042107800,C1,PS1,PHONE,Robbery,On Road,07/04/2021 18:13:00,26.845,81.061,2021-04-07,4,4,18
LUCKNOW,P07042109168,C1,PS1,PHONE,Dispute,Money Transactions Dispute,07/04/2021 20:18:00,26.837,81.024,2021-04-07,4,4,20
LUCKNOW,P07042109222,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,07/04/2021 20:22:00,26.84,81.025,2021-04-07,4,4,20
LUCKNOW,P07042111691,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,07/04/2021 22:55:00,26.84,81.001,2021-04-07,4,4,22
LUCKNOW,P08042100847,C1,PS1,PHONE,Threat In Person,Threatening To Kill,08/04/2021 03:08:00,26.826,81.011,2021-04-08,4,5,3
LUCKNOW,P08042103149,C1,PS1,PHONE,Dispute,Money Transactions Dispute,08/04/2021 10:12:00,26.836,81.022,2021-04-08,4,5,10
LUCKNOW,P08042103692,C1,PS1,PHONE,Threat In Person,Threatening To Kill,08/04/2021 11:08:00,26.843,81.031,2021-04-08,4,5,11
LUCKNOW,P08042106491,C1,PS1,PHONE,Threat In Person,Threatening To Kill,08/04/2021 15:40:00,26.835,81.008,2021-04-08,4,5,15
LUCKNOW,P08042110382,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,08/04/2021 21:16:00,26.85,81.036,2021-04-08,4,5,21
LUCKNOW,P08042111771,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,08/04/2021 22:29:00,26.834,81.011,2021-04-08,4,5,22
LUCKNOW,P09042106179,C1,PS1,PHONE,Dispute,Sewer Dispute,09/04/2021 14:40:00,26.84,81.025,2021-04-09,4,6,14
LUCKNOW,P09042108089,C1,PS1,PHONE,Threat In Person,Attack,09/04/2021 17:41:00,26.847,81.028,2021-04-09,4,6,17
LUCKNOW,P09042108342,C1,PS1,PHONE,Dispute,Money Transactions Dispute,09/04/2021 18:06:00,26.84,80.996,2021-04-09,4,6,18
LUCKNOW,P09042108568,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,09/04/2021 18:28:00,26.835,81.014,2021-04-09,4,6,18
LUCKNOW,P09042110526,C1,PS1,PHONE,Robbery,On Road,09/04/2021 21:05:00,26.848,81.035,2021-04-09,4,6,21
LUCKNOW,P09042110917,C1,PS1,PHONE,Theft,Other Location,09/04/2021 21:28:00,26.834,81.007,2021-04-09,4,6,21
LUCKNOW,P09042111894,C1,PS1,PHONE,Dispute,With Neighbor,09/04/2021 22:21:00,26.844,81.041,2021-04-09,4,6,22
LUCKNOW,P10042100057,C1,PS1,PHONE,Threat In Person,Threatening To Kill,10/04/2021 00:06:00,26.849,81.03,2021-04-10,4,7,0
LUCKNOW,P10042103720,C1,PS1,PHONE,Dispute,Money Transactions Dispute,10/04/2021 11:10:00,26.83,81.032,2021-04-10,4,7,11
LUCKNOW,P10042107534,C1,PS1,PHONE,Dispute,Dispute With Service Provider Or Vendor,10/04/2021 16:26:00,26.826,81.012,2021-04-10,4,7,16
LUCKNOW,P10042108065,C1,PS1,PHONE,Information Against Police,Prv Has Taken Money From The Caller,10/04/2021 17:13:00,26.833,81.019,2021-04-10,4,7,17
LUCKNOW,P10042112230,C1,PS1,PHONE,Theft,Residential Building,10/04/2021 22:18:00,26.834,81.008,2021-04-10,4,7,22
LUCKNOW,P11042100483,C1,PS1,PHONE,Illegal Mining,Illegal Mining,11/04/2021 01:02:00,26.832,81.031,2021-04-11,4,1,1
LUCKNOW,P11042103368,C1,PS1,PHONE,Dispute,Dispute Between Ride And Driver,11/04/2021 10:32:00,26.835,81.012,2021-04-11,4,1,10
LUCKNOW,P11042104241,C1,PS1,PHONE,Dispute,Other Dispute,11/04/2021 11:46:00,26.844,81.01,2021-04-11,4,1,11
LUCKNOW,P11042106321,C1,PS1,PHONE,Threat In Person,Attack,11/04/2021 14:10:00,26.834,81.011,2021-04-11,4,1,14
LUCKNOW,P11042108665,C1,PS1,PHONE,Dispute,Other Dispute,11/04/2021 17:37:00,26.834,81.011,2021-04-11,4,1,17
LUCKNOW,P11042109137,C1,PS1,PHONE,Dispute,With Neighbor,11/04/2021 18:17:00,26.845,81.027,2021-04-11,4,1,18
LUCKNOW,P11042112305,C1,PS1,PHONE,Dispute,Other Dispute,11/04/2021 21:59:00,26.829,81.008,2021-04-11,4,1,21
LUCKNOW,P12042100139,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,12/04/2021 00:11:00,26.836,81.008,2021-04-12,4,2,0
LUCKNOW,P12042102357,C1,PS1,PHONE,Dispute,Money Transactions Dispute,12/04/2021 08:43:00,26.833,81.028,2021-04-12,4,2,8
LUCKNOW,P12042103722,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,12/04/2021 10:43:00,26.836,81.025,2021-04-12,4,2,10
LUCKNOW,P12042104863,C1,PS1,PHONE,Threat In Person,Attack,12/04/2021 12:18:00,26.834,81.008,2021-04-12,4,2,12
LUCKNOW,P12042106151,C1,PS1,PHONE,Threat In Person,Threatening To Kill,12/04/2021 14:06:00,26.841,81.0,2021-04-12,4,2,14
LUCKNOW,P12042107626,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,12/04/2021 16:14:00,26.838,81.0,2021-04-12,4,2,16
LUCKNOW,P12042108150,C1,PS1,PHONE,Dispute,Money Transactions Dispute,12/04/2021 17:02:00,26.839,81.026,2021-04-12,4,2,17
LUCKNOW,P12042108879,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,12/04/2021 18:10:00,26.836,81.002,2021-04-12,4,2,18
LUCKNOW,P12042110039,C1,PS1,PHONE,Dispute,Money Transactions Dispute,12/04/2021 19:53:00,26.842,81.017,2021-04-12,4,2,19
LUCKNOW,P12042112097,C1,PS1,PHONE,Dispute,Other Dispute,12/04/2021 21:55:00,26.839,81.026,2021-04-12,4,2,21
LUCKNOW,P12042112557,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By,12/04/2021 22:17:00,26.837,81.031,2021-04-12,4,2,22
LUCKNOW,P12042112584,C1,PS1,PHONE,Dispute,Other Dispute,12/04/2021 22:18:00,26.837,81.031,2021-04-12,4,2,22
LUCKNOW,P12042113702,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,12/04/2021 23:20:00,26.834,81.011,2021-04-12,4,2,23
LUCKNOW,P12042113826,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By,12/04/2021 23:29:00,26.85,81.044,2021-04-12,4,2,23
LUCKNOW,P01052101755,C1,PS1,PHONE,Theft,Two Wheeler Vehicle,01/05/2021 06:00:32,26.832,81.019,2021-05-01,5,7,6
LUCKNOW,P01052106101,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Threaten Men,01/05/2021 12:12:30,26.833,81.019,2021-05-01,5,7,12
LUCKNOW,P01052106331,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,01/05/2021 12:29:35,26.849,81.039,2021-05-01,5,7,12
LUCKNOW,P01052107114,C1,PS1,PHONE,Dispute,Sewer Dispute,01/05/2021 13:38:44,26.834,81.011,2021-05-01,5,7,13
LUCKNOW,P01052107503,C1,PS1,PHONE,Dispute,Other Dispute,01/05/2021 14:15:12,26.844,81.062,2021-05-01,5,7,14
LUCKNOW,P01052107624,C1,PS1,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,01/05/2021 14:25:02,26.841,81.002,2021-05-01,5,7,14
LUCKNOW,P01052109081,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,01/05/2021 16:34:18,26.833,81.017,2021-05-01,5,7,16
LUCKNOW,P01052111385,C1,PS1,PHONE,Dispute,Dispute In Hospital,01/05/2021 19:19:57,26.821,81.012,2021-05-01,5,7,19
LUCKNOW,P01052112057,C1,PS1,PHONE,Threat In Person,Threatening To Kill,01/05/2021 20:11:17,26.832,81.01,2021-05-01,5,7,20
LUCKNOW,P01052112310,C1,PS1,PHONE,Dispute,Dispute Between Ride And Driver,01/05/2021 20:28:40,26.838,81.001,2021-05-01,5,7,20
LUCKNOW,P01052112820,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,01/05/2021 20:59:45,26.849,81.039,2021-05-01,5,7,20
LUCKNOW,P01052114325,C1,PS1,PHONE,Female Sexual Harrassment,Attempted Rape In Building Or Campus,01/05/2021 22:35:33,26.839,81.026,2021-05-01,5,7,22
LUCKNOW,P02052100719,C1,PS1,PHONE,Illegal Mining,Illegal Mining Land,02/05/2021 03:36:53,26.818,81.015,2021-05-02,5,1,3
LUCKNOW,P02052101439,C1,PS1,PHONE,Theft,Two Wheeler Vehicle,02/05/2021 07:20:11,26.831,81.022,2021-05-02,5,1,7
LUCKNOW,P03052102696,C1,PS1,PHONE,Forgery,Forged Signature,03/05/2021 08:36:35,26.846,81.02,2021-05-03,5,2,8
LUCKNOW,P03052109584,C1,PS1,PHONE,Dispute,Other Dispute,03/05/2021 16:56:08,26.838,81.009,2021-05-03,5,2,16
LUCKNOW,P03052113907,C1,PS1,PHONE,Attempted Murder,Beaten With Lathi/Stick,03/05/2021 21:04:06,26.825,81.044,2021-05-03,5,2,21
LUCKNOW,P03052115296,C1,PS1,PHONE,Missing,Women,03/05/2021 22:10:17,26.854,81.042,2021-05-03,5,2,22
LUCKNOW,P04052114046,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,04/05/2021 21:24:51,26.835,81.014,2021-05-04,5,3,21
LUCKNOW,P04052114843,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,04/05/2021 22:10:37,26.835,81.014,2021-05-04,5,3,22
LUCKNOW,P05052106509,C1,PS1,PHONE,Found Deadbody,Male Dead Body,05/05/2021 13:19:11,26.835,81.008,2021-05-05,5,4,13
LUCKNOW,P05052112272,C1,PS1,PHONE,Dispute,Money Transactions Dispute,05/05/2021 20:46:08,26.825,81.013,2021-05-05,5,4,20
LUCKNOW,P05052114405,C1,PS1,PHONE,Dispute,Other Dispute,05/05/2021 23:33:25,26.824,81.014,2021-05-05,5,4,23
LUCKNOW,P06052100340,C1,PS1,PHONE,Dispute,Dispute In Hospital,06/05/2021 01:49:16,26.848,81.028,2021-05-06,5,5,1
LUCKNOW,P06052100430,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,06/05/2021 02:43:33,26.85,81.046,2021-05-06,5,5,2
LUCKNOW,P06052102899,C1,PS1,PHONE,Dispute,Other Dispute,06/05/2021 09:25:55,26.834,81.006,2021-05-06,5,5,9
LUCKNOW,P06052110696,C1,PS1,PHONE,Dispute,Other Dispute,06/05/2021 19:37:24,26.836,81.026,2021-05-06,5,5,19
LUCKNOW,P06052111472,C1,PS1,PHONE,Robbery,On Road,06/05/2021 20:37:39,26.846,81.022,2021-05-06,5,5,20
LUCKNOW,P07052103582,C1,PS1,PHONE,Dispute,Money Transactions Dispute,07/05/2021 10:47:53,26.834,81.011,2021-05-07,5,6,10
LUCKNOW,P07052106114,C1,PS1,PHONE,Threat In Person,Threatening To Kill,07/05/2021 14:26:58,26.838,81.008,2021-05-07,5,6,14
LUCKNOW,P07052106187,C1,PS1,PHONE,Dispute,Other Dispute,07/05/2021 14:35:16,26.839,81.028,2021-05-07,5,6,14
LUCKNOW,P07052106199,C1,PS1,PHONE,Information Against Police,Demand For Money By Ps Station Incharge,07/05/2021 14:36:34,26.839,81.026,2021-05-07,5,6,14
LUCKNOW,P07052107446,C1,PS1,PHONE,Pollution,Sound Pollution,07/05/2021 16:43:40,26.846,81.022,2021-05-07,5,6,16
LUCKNOW,P07052107741,C1,PS1,PHONE,Pollution,Pollution From Industry,07/05/2021 17:10:31,26.839,81.026,2021-05-07,5,6,17
LUCKNOW,P08052109874,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,08/05/2021 19:39:29,26.833,81.036,2021-05-08,5,7,19
LUCKNOW,P08052110441,C1,PS1,PHONE,Theft,Other Location,08/05/2021 20:26:49,26.835,81.008,2021-05-08,5,7,20
LUCKNOW,P09052106587,C1,PS1,PHONE,Missing,Mobile,09/05/2021 14:20:56,26.839,81.055,2021-05-09,5,1,14
LUCKNOW,P10052107772,C1,PS1,PHONE,Dispute,Other Dispute,10/05/2021 16:19:41,26.839,81.027,2021-05-10,5,2,16
LUCKNOW,P10052109424,C1,PS1,PHONE,Gambling,Betting,10/05/2021 18:25:26,26.825,81.015,2021-05-10,5,2,18
LUCKNOW,P10052110370,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,10/05/2021 19:35:47,26.85,81.051,2021-05-10,5,2,19
LUCKNOW,P11052109474,C1,PS1,PHONE,Threat In Person,Threatening To Kill,11/05/2021 17:22:17,26.826,81.044,2021-05-11,5,3,17
LUCKNOW,P01062101536,C1,PS1,PHONE,Theft,Other Location,01/06/2021 07:21:24,26.84,81.017,2021-06-01,6,3,7
LUCKNOW,P01062105721,C1,PS1,PHONE,Theft,Residential Building,01/06/2021 12:21:19,26.842,81.007,2021-06-01,6,3,12
LUCKNOW,P01062105814,C1,PS1,PHONE,Theft,Other Location,01/06/2021 12:28:38,26.825,81.01,2021-06-01,6,3,12
LUCKNOW,P01062109523,C1,PS1,PHONE,Domestic Violence,Husband Relatives To Beat Wife,01/06/2021 16:47:47,26.827,81.055,2021-06-01,6,3,16
LUCKNOW,P01062109780,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,01/06/2021 17:02:57,26.829,81.053,2021-06-01,6,3,17
LUCKNOW,P01062112643,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,01/06/2021 19:55:21,26.839,81.028,2021-06-01,6,3,19
LUCKNOW,P01062115360,C1,PS1,PHONE,Dispute,Other Dispute,01/06/2021 21:56:15,26.832,81.01,2021-06-01,6,3,21
LUCKNOW,P01062116746,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,01/06/2021 23:03:32,26.846,81.02,2021-06-01,6,3,23
LUCKNOW,P02062100231,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,02/06/2021 00:39:25,26.844,81.041,2021-06-02,6,4,0
LUCKNOW,P02062103474,C1,PS1,PHONE,Domestic Violence,Family Members Beat Wife,02/06/2021 09:12:56,26.844,81.011,2021-06-02,6,4,9
LUCKNOW,P02062105442,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,02/06/2021 11:12:22,26.831,81.026,2021-06-02,6,4,11
LUCKNOW,P02062105951,C1,PS1,PHONE,Property Disputes,Boundary Dispute,02/06/2021 11:45:19,26.85,81.052,2021-06-02,6,4,11
LUCKNOW,P02062107903,C1,PS1,PHONE,Dispute,Other Dispute,02/06/2021 14:06:37,26.825,81.027,2021-06-02,6,4,14
LUCKNOW,P02062110991,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,02/06/2021 17:34:28,26.836,81.017,2021-06-02,6,4,17
LUCKNOW,P02062111033,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,02/06/2021 17:36:24,26.843,81.015,2021-06-02,6,4,17
LUCKNOW,P02062116513,C1,PS1,PHONE,Theft,Residential Building,02/06/2021 21:43:53,26.834,81.03,2021-06-02,6,4,21
LUCKNOW,P03062107591,C1,PS1,PHONE,Missing,Women,03/06/2021 12:49:25,26.847,81.028,2021-06-03,6,5,12
LUCKNOW,P03062108521,C1,PS1,PHONE,Dispute,Other Dispute,03/06/2021 13:56:43,26.839,81.019,2021-06-03,6,5,13
LUCKNOW,P03062110998,C1,PS1,PHONE,Threat In Person,Threatening To Kill,03/06/2021 16:48:37,26.839,81.027,2021-06-03,6,5,16
LUCKNOW,P03062113279,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,03/06/2021 19:01:19,26.842,81.007,2021-06-03,6,5,19
LUCKNOW,P03062113751,C1,PS1,PHONE,Traffic Jam,Due To Illegal Parking,03/06/2021 19:25:20,26.838,81.001,2021-06-03,6,5,19
LUCKNOW,P03062114855,C1,PS1,PHONE,Threat In Person,Attack,03/06/2021 20:20:43,26.841,81.051,2021-06-03,6,5,20
LUCKNOW,P03062117111,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,03/06/2021 21:50:11,26.845,81.027,2021-06-03,6,5,21
LUCKNOW,P03062119747,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Obscene Talks Women,03/06/2021 23:54:08,26.835,81.014,2021-06-03,6,5,23
LUCKNOW,P04062100177,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,04/06/2021 00:15:36,26.839,81.026,2021-06-04,6,6,0
LUCKNOW,P04062101457,C1,PS1,PHONE,Theft,Residential Building,04/06/2021 05:30:05,26.843,81.03,2021-06-04,6,6,5
LUCKNOW,P04062102446,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,04/06/2021 07:23:25,26.834,81.011,2021-06-04,6,6,7
LUCKNOW,P04062107628,C1,PS1,PHONE,Domestic Violence,House Arrest,04/06/2021 12:40:48,26.836,81.017,2021-06-04,6,6,12
LUCKNOW,P04062115052,C1,PS1,PHONE,Dispute,With Neighbor,04/06/2021 20:24:10,26.844,81.063,2021-06-04,6,6,20
LUCKNOW,P04062117177,C1,PS1,PHONE,Threat In Person,Attack,04/06/2021 21:43:34,26.845,81.027,2021-06-04,6,6,21
