Circle,Police Station,Event Type,Create Date/Time
C1,PS1,Dispute,21-05-2021 00:48
C1,PS1,Threat In Person,21-05-2021 15:04
C1,PS1,Missing,21-05-2021 18:01
C1,PS1,Dispute,22-05-2021 09:30
C1,PS1,Threat In Person,22-05-2021 10:26
C1,PS1,Dispute,22-05-2021 12:33
C1,PS1,Gambling,22-05-2021 18:46
C1,PS1,Property Disputes,22-05-2021 19:08
C1,PS1,Threat In Person,22-05-2021 20:29
C1,PS1,Missing,22-05-2021 21:18
C1,PS1,Kidnap,22-05-2021 22:30
C1,PS1,Threat In Person,22-05-2021 22:36
C1,PS1,Dispute,22-05-2021 22:47
C1,PS1,Domestic Violence,22-05-2021 22:58
C1,PS1,Missing,23-05-2021 02:56
C1,PS1,Animals Related,23-05-2021 12:20
C1,PS1,Female Sexual Harrassment,23-05-2021 16:15
C1,PS1,Threat In Person,23-05-2021 16:39
C1,PS1,Dacoity,23-05-2021 16:45
C1,PS1,Dispute,23-05-2021 20:11
C1,PS1,Dispute,23-05-2021 21:38
C1,PS1,Dispute,24-05-2021 08:16
C1,PS1,Theft,24-05-2021 09:23
C1,PS1,Robbery,24-05-2021 11:31
C1,PS1,Domestic Violence,24-05-2021 15:12
C1,PS1,Property Disputes,24-05-2021 16:04
C1,PS1,Dispute,24-05-2021 19:38
C1,PS1,Property Disputes,25-05-2021 07:52
C1,PS1,Dispute,25-05-2021 21:38
C1,PS1,Threat In Person,25-05-2021 23:37
C1,PS1,Dispute,26-05-2021 09:33
C1,PS1,Domestic Violence,26-05-2021 15:13
C1,PS1,Dispute,26-05-2021 16:22
C1,PS1,Ndps Act Offenses,26-05-2021 20:25
C1,PS1,Theft,26-05-2021 21:05
C1,PS1,Female Sexual Harrassment,26-05-2021 21:08
C1,PS1,Dispute,26-05-2021 21:40
C1,PS1,Dispute,26-05-2021 23:02
C1,PS1,Dispute,26-05-2021 23:43
C1,PS1,Domestic Violence,27-05-2021 09:12
C1,PS1,Kidnap,27-05-2021 14:27
C1,PS1,Threat In Person,27-05-2021 15:42
C1,PS1,Domestic Violence,27-05-2021 18:05
C1,PS1,Domestic Violence,27-05-2021 18:37
C1,PS1,Dispute,27-05-2021 19:39
C1,PS1,Police Help Required By 108,27-05-2021 21:03
C1,PS1,Dispute,27-05-2021 22:02
C1,PS1,Domestic Violence,27-05-2021 22:42
C1,PS1,Threat In Person,28-05-2021 09:32
C1,PS1,Missing,28-05-2021 11:00
C1,PS1,Dispute,28-05-2021 11:46
C1,PS1,Animals Related,28-05-2021 18:42
C1,PS1,Dispute,29-05-2021 14:51
C1,PS1,Domestic Violence,29-05-2021 16:41
C1,PS1,Threat In Person,29-05-2021 17:10
C1,PS1,Gambling,29-05-2021 17:12
C1,PS1,Missing,29-05-2021 18:00
C1,PS1,Threat In Person,29-05-2021 18:30
C1,PS1,Dispute,29-05-2021 19:15
C1,PS1,Excise Act Offenses,29-05-2021 21:55
C1,PS1,Dispute,29-05-2021 22:16
C1,PS1,Domestic Violence,29-05-2021 22:49
C1,PS1,Escort For Safety,30-05-2021 02:16
C1,PS1,Dispute,30-05-2021 05:32
C1,PS1,Animals Related,30-05-2021 10:49
C1,PS1,Theft,30-05-2021 16:13
C1,PS1,Dispute,30-05-2021 17:21
C1,PS1,Gambling,30-05-2021 18:32
C1,PS1,Theft,30-05-2021 19:42
C1,PS1,Dispute,30-05-2021 20:22
C1,PS1,Threat In Person,30-05-2021 22:18
C1,PS1,Dispute,31-05-2021 05:59
C1,PS1,Threat In Person,31-05-2021 10:23
C1,PS1,Dispute,31-05-2021 10:38
C1,PS1,Gambling,31-05-2021 11:24
C1,PS1,Gambling,31-05-2021 11:55
C1,PS1,Threat In Person,31-05-2021 17:56
C1,PS1,Dispute,31-05-2021 21:29
C1,PS1,Dispute,31-05-2021 22:52
C1,PS1,Theft,01-06-2021 07:21
C1,PS1,Theft,01-06-2021 12:21
C1,PS1,Theft,01-06-2021 12:28
C1,PS1,Domestic Violence,01-06-2021 16:47
C1,PS1,Domestic Violence,01-06-2021 17:02
C1,PS1,Domestic Violence,01-06-2021 19:55
C1,PS1,Dispute,01-06-2021 21:56
C1,PS1,Domestic Violence,01-06-2021 23:03
C1,PS1,Dispute,02-06-2021 00:39
C1,PS1,Domestic Violence,02-06-2021 09:12
C1,PS1,Domestic Violence,02-06-2021 11:12
C1,PS1,Property Disputes,02-06-2021 11:45
C1,PS1,Dispute,02-06-2021 14:06
C1,PS1,Domestic Violence,02-06-2021 17:34
C1,PS1,Domestic Violence,02-06-2021 17:36
C1,PS1,Theft,02-06-2021 21:43
C1,PS1,Missing,03-06-2021 12:49
C1,PS1,Dispute,03-06-2021 13:56
C1,PS1,Threat In Person,03-06-2021 16:48
C1,PS1,Domestic Violence,03-06-2021 19:01
C1,PS1,Traffic Jam,03-06-2021 19:25
C1,PS1,Threat In Person,03-06-2021 20:20
C1,PS1,Domestic Violence,03-06-2021 21:50
C1,PS1,Crime On Phone Mobile Social Media Internet,03-06-2021 23:54
C1,PS1,Domestic Violence,04-06-2021 00:15
C1,PS1,Theft,04-06-2021 05:30
C1,PS1,Domestic Violence,04-06-2021 07:23
C1,PS1,Domestic Violence,04-06-2021 12:40
C1,PS1,Dispute,04-06-2021 20:24
C1,PS1,Threat In Person,04-06-2021 21:43
C1,PS1,Missing,04-06-2021 22:29
C1,PS1,Threat In Person,04-06-2021 22:48
C1,PS1,Dispute,05-06-2021 10:13
C1,PS1,Crime On Phone Mobile Social Media Internet,05-06-2021 14:01
C1,PS1,Female Harrassment,05-06-2021 18:29
C1,PS1,Domestic Violence,05-06-2021 18:33
C1,PS1,Dispute,05-06-2021 20:06
C1,PS1,Dispute,05-06-2021 21:26
C1,PS1,Ndps Act Offenses,05-06-2021 23:12
C1,PS1,Differently Abled People,06-06-2021 12:22
C1,PS1,Female Sexual Harrassment,06-06-2021 12:34
C1,PS1,Domestic Violence,06-06-2021 22:33
C1,PS1,Animals Related,06-06-2021 23:03
C1,PS1,Animals Related,06-06-2021 23:36
C1,PS1,Dispute,07-06-2021 06:04
C1,PS1,Animals Related,07-06-2021 07:54
C1,PS1,Crime On Phone Mobile Social Media Internet,07-06-2021 16:12
C1,PS1,Domestic Violence,07-06-2021 16:38
C1,PS1,Threat In Person,07-06-2021 17:20
C1,PS1,Threat In Person,07-06-2021 22:09
C1,PS1,Domestic Violence,07-06-2021 22:16
C1,PS1,Theft,08-06-2021 05:21
C1,PS1,Domestic Violence,08-06-2021 06:10
C1,PS1,Property Disputes,08-06-2021 10:15
C1,PS1,Dispute,08-06-2021 11:02
C1,PS1,Threat In Person,08-06-2021 18:01
C1,PS1,Dispute,08-06-2021 18:08
C1,PS1,Domestic Violence,08-06-2021 18:53
C1,PS1,Theft,08-06-2021 19:11
C1,PS1,Dispute,08-06-2021 21:43
C1,PS1,Threat In Person,08-06-2021 22:46
C1,PS1,Domestic Violence,09-06-2021 14:27
C1,PS1,Dispute,09-06-2021 16:42
C1,PS1,Threat In Person,09-06-2021 17:10
C1,PS1,Dispute,09-06-2021 19:44
C1,PS1,Domestic Violence,09-06-2021 20:01
C1,PS1,Dispute,09-06-2021 21:00
C1,PS1,Theft,09-06-2021 21:23
C1,PS1,Threat In Person,09-06-2021 21:41
C1,PS1,Domestic Violence,10-06-2021 00:54
C1,PS1,Theft,10-06-2021 05:20
C1,PS1,Domestic Violence,10-06-2021 10:58
C1,PS1,Dispute,10-06-2021 18:28
C1,PS1,Dispute,10-06-2021 18:56
C1,PS1,Missing,10-06-2021 19:53
C1,PS1,Accident,10-06-2021 21:12
C1,PS1,Dispute,10-06-2021 21:19
C1,PS1,Domestic Violence,10-06-2021 21:29
C1,PS1,Theft,10-06-2021 22:27
C1,PS1,Dispute,10-06-2021 22:51
C1,PS1,Crime On Phone Mobile Social Media Internet,10-06-2021 23:12
C1,PS1,Found Deadbody,11-06-2021 06:22
C1,PS1,Robbery,11-06-2021 07:31
C1,PS1,Dispute,11-06-2021 15:49
C1,PS1,Domestic Violence,11-06-2021 18:26
C1,PS1,Dispute,11-06-2021 19:25
C1,PS1,Domestic Violence,11-06-2021 21:32
C1,PS1,Domestic Violence,11-06-2021 22:29
C1,PS1,Dispute,11-06-2021 22:42
C1,PS1,Threat In Person,12-06-2021 00:17
C1,PS1,Dispute,12-06-2021 04:11
C1,PS1,Theft,12-06-2021 11:40
C1,PS1,Dispute,12-06-2021 14:31
C1,PS1,Dispute,12-06-2021 16:53
C1,PS1,Dispute,12-06-2021 19:21
C1,PS1,Threat In Person,12-06-2021 22:13
C1,PS1,Domestic Violence,12-06-2021 23:08
C1,PS1,Domestic Violence,12-06-2021 23:10
C1,PS1,Theft,13-06-2021 04:43
C1,PS1,Dispute,13-06-2021 07:35
C1,PS1,Domestic Violence,13-06-2021 07:59
C1,PS1,Theft,13-06-2021 11:36
C1,PS1,Gambling,13-06-2021 16:33
C1,PS1,Dispute,13-06-2021 19:30
C1,PS1,Pollution,13-06-2021 22:43
C1,PS1,Threat In Person,14-06-2021 09:22
C1,PS1,Dispute,14-06-2021 11:10
C1,PS1,Animals Related,14-06-2021 12:12
C1,PS1,Dispute,14-06-2021 13:56
C1,PS1,Dispute,14-06-2021 14:09
C1,PS1,Dispute,14-06-2021 19:25
C1,PS1,Attempted Murder,14-06-2021 21:34
C1,PS1,Property Disputes,14-06-2021 22:37
C1,PS1,Property Disputes,15-06-2021 10:18
C1,PS1,Animals Related,15-06-2021 10:21
C1,PS1,Property Disputes,15-06-2021 11:52
C1,PS1,Property Disputes,15-06-2021 15:01
C1,PS1,Dispute,15-06-2021 22:58
C1,PS1,Threat In Person,16-06-2021 10:16
C1,PS1,Domestic Violence,16-06-2021 11:34
C1,PS1,Dispute,16-06-2021 11:38
C1,PS1,Missing,16-06-2021 13:08
C1,PS1,Dispute,16-06-2021 13:58
C1,PS1,Theft,16-06-2021 18:52
C1,PS1,Dispute,16-06-2021 21:59
C1,PS1,Domestic Violence,16-06-2021 22:06
C1,PS1,Dispute,16-06-2021 22:46
C1,PS1,Female Sexual Harrassment,17-06-2021 00:53
C1,PS1,Traffic Jam,17-06-2021 01:43
C1,PS1,Threat In Person,17-06-2021 06:49
C1,PS1,Dispute,17-06-2021 13:57
C1,PS1,Domestic Violence,17-06-2021 23:03
C1,PS1,Domestic Violence,18-06-2021 22:38
C1,PS1,Domestic Violence,18-06-2021 22:48
C1,PS1,Domestic Violence,18-06-2021 23:56
C1,PS1,Threat In Person,19-06-2021 00:12
C1,PS1,Dispute,19-06-2021 11:54
C1,PS1,Theft,19-06-2021 13:06
C1,PS1,Dispute,19-06-2021 16:56
C1,PS1,Dispute,19-06-2021 17:13
C1,PS1,Threat In Person,19-06-2021 21:37
C1,PS1,Threat In Person,19-06-2021 21:39
C1,PS1,Theft,19-06-2021 22:05
C1,PS1,Theft,20-06-2021 08:08
C1,PS1,Found Deadbody,20-06-2021 11:35
C1,PS1,Dispute,20-06-2021 15:37
C1,PS1,Threat In Person,20-06-2021 20:30
C1,PS1,Dispute,21-06-2021 00:22
C1,PS1,Property Disputes,21-06-2021 10:20
C1,PS1,Dispute,21-06-2021 10:25
C1,PS1,Property Disputes,21-06-2021 10:34
C1,PS1,Found Deadbody,21-06-2021 10:59
C1,PS1,Dispute,21-06-2021 13:23
C1,PS1,Domestic Violence,21-06-2021 14:17
C1,PS1,Theft,21-06-2021 19:08
C1,PS1,Dispute,21-06-2021 23:07
C1,PS1,Threat In Person,21-06-2021 23:42
C1,PS1,Illegal Mining,22-06-2021 02:58
C1,PS1,Threat In Person,22-06-2021 12:52
C1,PS1,Dispute,22-06-2021 16:12
C1,PS1,Threat In Person,22-06-2021 16:16
C1,PS1,Domestic Violence,22-06-2021 20:48
C1,PS1,Encroachment,23-06-2021 15:04
C1,PS1,Threat In Person,23-06-2021 15:22
C1,PS1,Missing,23-06-2021 17:30
C1,PS1,Dispute,23-06-2021 19:06
C1,PS1,Robbery,23-06-2021 22:14
